Invoice_ID,Invoice_Month,Invoice_Date,Due_Date,Vendor,Invoice_Amount,Status,Payment_Date,Year,Quarter,Days_to_Pay,Outstanding_Amount,Paid_Amount
INV-10001,2023-01,2023-01-04,2023-02-03,Abrippo,63994.02,Paid,2023-01-31,2023,2023Q1,27.0,0.0,63994.02
INV-10002,2023-01,2023-01-06,2023-02-20,Bopendous,40909.39,Paid,2023-03-13,2023,2023Q1,66.0,0.0,40909.39
INV-10003,2023-01,2023-01-08,2023-02-07,Chabnar,78605.33,Paid,2023-02-05,2023,2023Q1,28.0,0.0,78605.33
INV-10004,2023-01,2023-01-04,2023-02-03,Daptis,38170.07,Paid,2023-02-03,2023,2023Q1,30.0,0.0,38170.07
INV-10005,2023-02,2023-02-03,2023-03-05,Abrippo,67019.39,Paid,2023-03-17,2023,2023Q1,42.0,0.0,67019.39
INV-10006,2023-02,2023-02-08,2023-03-10,Bopendous,52358.21,Paid,2023-04-18,2023,2023Q1,69.0,0.0,52358.21
INV-10007,2023-02,2023-02-02,2023-03-19,Chabnar,97802.7,Paid,2023-04-06,2023,2023Q1,63.0,0.0,97802.7
INV-10008,2023-02,2023-02-08,2023-03-10,Daptis,28572.44,Paid,2023-04-16,2023,2023Q1,67.0,0.0,28572.44
INV-10009,2023-03,2023-03-05,2023-05-04,Abrippo,66474.32,Paid,2023-06-16,2023,2023Q1,103.0,0.0,66474.32
INV-10010,2023-03,2023-03-06,2023-05-05,Bopendous,36124.3,Outstanding,,2023,2023Q1,,36124.3,0.0
INV-10011,2023-03,2023-03-07,2023-04-21,Chabnar,52755.9,Paid,2023-05-16,2023,2023Q1,70.0,0.0,52755.9
INV-10012,2023-03,2023-03-06,2023-05-05,Daptis,38230.99,Paid,2023-05-17,2023,2023Q1,72.0,0.0,38230.99
INV-10013,2023-04,2023-04-08,2023-06-07,Abrippo,60131.99,Paid,2023-06-24,2023,2023Q2,77.0,0.0,60131.99
INV-10014,2023-04,2023-04-07,2023-05-22,Bopendous,39130.02,Outstanding,,2023,2023Q2,,39130.02,0.0
INV-10015,2023-04,2023-04-06,2023-06-05,Chabnar,71894.26,Paid,2023-06-26,2023,2023Q2,81.0,0.0,71894.26
INV-10016,2023-04,2023-04-03,2023-06-02,Daptis,36910.79,Paid,2023-06-07,2023,2023Q2,65.0,0.0,36910.79
INV-10017,2023-05,2023-05-02,2023-06-16,Abrippo,53391.24,Outstanding,,2023,2023Q2,,53391.24,0.0
INV-10018,2023-05,2023-05-02,2023-06-16,Bopendous,37369.64,Paid,2023-06-30,2023,2023Q2,59.0,0.0,37369.64
INV-10019,2023-05,2023-05-08,2023-07-07,Chabnar,77512.71,Paid,2023-08-16,2023,2023Q2,100.0,0.0,77512.71
INV-10020,2023-05,2023-05-04,2023-07-03,Daptis,28874.21,Paid,2023-08-04,2023,2023Q2,92.0,0.0,28874.21
INV-10021,2023-06,2023-06-03,2023-07-18,Abrippo,55812.24,Paid,2023-08-08,2023,2023Q2,66.0,0.0,55812.24
INV-10022,2023-06,2023-06-07,2023-08-06,Bopendous,54573.94,Paid,2023-08-28,2023,2023Q2,82.0,0.0,54573.94
INV-10023,2023-06,2023-06-08,2023-07-08,Chabnar,68004.38,Paid,2023-07-04,2023,2023Q2,26.0,0.0,68004.38
INV-10024,2023-06,2023-06-06,2023-08-05,Daptis,12846.01,Outstanding,,2023,2023Q2,,12846.01,0.0
INV-10025,2023-07,2023-07-04,2023-08-03,Abrippo,66284.37,Paid,2023-08-20,2023,2023Q3,47.0,0.0,66284.37
INV-10026,2023-07,2023-07-06,2023-08-05,Bopendous,42648.94,Paid,2023-09-01,2023,2023Q3,57.0,0.0,42648.94
INV-10027,2023-07,2023-07-03,2023-08-02,Chabnar,84038.21,Paid,2023-08-26,2023,2023Q3,54.0,0.0,84038.21
INV-10028,2023-07,2023-07-01,2023-08-30,Daptis,43947.86,Outstanding,,2023,2023Q3,,43947.86,0.0
INV-10029,2023-08,2023-08-04,2023-09-18,Abrippo,86329.42,Paid,2023-10-10,2023,2023Q3,67.0,0.0,86329.42
INV-10030,2023-08,2023-08-04,2023-10-03,Bopendous,46282.97,Paid,2023-11-07,2023,2023Q3,95.0,0.0,46282.97
INV-10031,2023-08,2023-08-05,2023-10-04,Chabnar,99055.56,Paid,2023-09-27,2023,2023Q3,53.0,0.0,99055.56
INV-10032,2023-08,2023-08-03,2023-10-02,Daptis,40375.86,Paid,2023-11-08,2023,2023Q3,97.0,0.0,40375.86
INV-10033,2023-09,2023-09-06,2023-11-05,Abrippo,63638.58,Paid,2023-11-03,2023,2023Q3,58.0,0.0,63638.58
INV-10034,2023-09,2023-09-01,2023-10-01,Bopendous,55590.01,Paid,2023-10-10,2023,2023Q3,39.0,0.0,55590.01
INV-10035,2023-09,2023-09-08,2023-11-07,Chabnar,102314.8,Paid,2023-11-13,2023,2023Q3,66.0,0.0,102314.8
INV-10036,2023-09,2023-09-02,2023-10-02,Daptis,30763.44,Paid,2023-11-15,2023,2023Q3,74.0,0.0,30763.44
INV-10037,2023-10,2023-10-04,2023-11-18,Abrippo,44018.93,Paid,2023-12-24,2023,2023Q4,81.0,0.0,44018.93
INV-10038,2023-10,2023-10-04,2023-11-03,Bopendous,53377.26,Paid,2023-11-03,2023,2023Q4,30.0,0.0,53377.26
INV-10039,2023-10,2023-10-08,2023-12-07,Chabnar,87908.17,Paid,2023-12-29,2023,2023Q4,82.0,0.0,87908.17
INV-10040,2023-10,2023-10-04,2023-11-18,Daptis,60979.11,Paid,2023-12-22,2023,2023Q4,79.0,0.0,60979.11
INV-10041,2023-11,2023-11-04,2023-12-19,Abrippo,79431.71,Paid,2023-12-19,2023,2023Q4,45.0,0.0,79431.71
INV-10042,2023-11,2023-11-08,2023-12-23,Bopendous,57267.55,Paid,2024-01-17,2023,2023Q4,70.0,0.0,57267.55
INV-10043,2023-11,2023-11-08,2023-12-08,Chabnar,78710.57,Paid,2023-12-29,2023,2023Q4,51.0,0.0,78710.57
INV-10044,2023-11,2023-11-08,2023-12-23,Daptis,47962.61,Paid,2024-01-31,2023,2023Q4,84.0,0.0,47962.61
INV-10045,2023-12,2023-12-02,2024-01-01,Abrippo,107143.1,Paid,2024-02-13,2023,2023Q4,73.0,0.0,107143.1
INV-10046,2023-12,2023-12-01,2024-01-15,Bopendous,76803.52,Paid,2024-01-13,2023,2023Q4,43.0,0.0,76803.52
INV-10047,2023-12,2023-12-03,2024-01-17,Chabnar,87672.6,Paid,2024-02-29,2023,2023Q4,88.0,0.0,87672.6
INV-10048,2023-12,2023-12-03,2024-01-17,Daptis,31410.33,Paid,2024-01-13,2023,2023Q4,41.0,0.0,31410.33
INV-10049,2024-01,2024-01-04,2024-02-18,Abrippo,86839.61,Paid,2024-03-05,2024,2024Q1,61.0,0.0,86839.61
